Department for Transport statistics,,,,,,,,,,,,,
Free Flow Vehicle Speeds (http://www.dft.gov.uk/statistics/series/speeds/),,,,,,,,,,,,,
Table SPE0102,,,,,,,,,,,,,
"Free flow vehicle speeds on built-up roads by speed limit and vehicle type in Great Britain, 2011",,,,,,,,,,,,,
,,,,,,,,,,,,Per cent / miles per hour / number of vehicles,
,,,,,,,Heavy goods vehicles 5,,,,,,
,,,,,,,Rigid by number of axles,,,,Articulated by number of axles,,
,,Motorcycles 3,Cars,Cars towing,Light Goods 4,Buses / Coaches,2,3,4 or more,,3 & 4,5 or more,
(a) 30 mph speed limit roads 1,,,,,,,,,,,,,
Under 20 mph,,8,4,5,5,11,7,7,4,,6,2,
20-29 mph,,42,49,53,45,64,47,54,47,,50,53,
30-34 mph,,27,31,32,31,19,29,30,36,,31,34,
35-39 mph,,14,12,8,14,5,12,7,9,,10,9,
40-44 mph,,6,3,1,4,1,3,1,2,,3,2,
45-49 mph,,2,1,0,1,0,1,0,0,,1,0,
50 mph and over,,2,0,0,0,1,1,0,0,,0,0,
Percentage over 35 mph,,23,16,10,19,7,17,9,12,,14,11,
Average speed (mph),,30,30,29,30,27,30,29,30,,30,30,
Number observed (thousands),,610,"54,395",120,"6,401",601,"1,791",103,93,,72,164,
,,,,,,,,,,,,,
(b) 40 mph speed limit roads 2,,,,,,,,,,,,,
Under 20 mph,,4,3,4,4,4,5,4,3,,5,2,
20-29 mph,,18,20,25,19,25,21,22,18,,19,16,
30-34 mph,,19,25,26,24,28,25,24,24,,24,23,
35-39 mph,,24,29,29,28,30,28,33,34,,33,41,
40-44 mph,,18,15,12,16,10,13,14,16,,14,14,
45-49 mph,,10,6,3,7,2,5,3,4,,3,3,
50-59 mph,,6,2,1,3,1,2,0,1,,1,1,
60 mph and over,,2,0,0,1,1,1,0,0,,0,0,
Percentage over 45 mph,,17,8,4,10,4,8,3,5,,4,3,
Average speed (mph),,37,35,34,35,34,35,34,35,,34,35,
Number observed (thousands),,739,"46,592",170,"6,136",552,"1,825",179,125,,154,419,
,,,,,,,,,,,,,
1 Average vehicle speeds from 25 sites.,,,,,,,,,,,,Source: DfT Automatic Traffic Counters,
2 Average vehicle speeds from 10 sites.,,,,,,,,,,,,Last updated: June 2012,
3 Motorcycles includes mopeds and other types of two wheeled motor vehicles.,,,,,,,,,,,,Next update: June 2013,
4 Goods vehicles 3.5 tonnes gross weight and under.,,,,,,,,,,,,,
5 Goods vehicles over 3.5 tonnes gross weight.,,,,,,,,,,,,,
Telephone: 020 7944 3095,,,,,,,,,,,,,
Email: roadtraff.stats@dft.gsi.gov.uk,,,,,,,,,,,,,
Notes & definitions (http://assets.dft.gov.uk/statistics/releases/free-flow-vehicle-speeds-2010/free-flow-vehicle-speeds-2010-notes.pdf),,,,,,,,,,,,,
The figures in this table are National Statistics.,,,,,,,,,,,,,

,,,,,,,,,,,,,
,,,,,,,,,,,,,
