Department for Transport statistics,,,,,,,,,,,,,
Transport Statistics Great Britain,,,,,,,,,,,,,
Table TSGB0717,,,,,,,,,,,,,
Regional expenditure on roads: 2010/111,,,,,,,,,,,,,
,,,,,,,,,,,£ Million,,
,,"North 
East","North 
West",Yorkshire and the Humber,"East 
Midlands","West 
Midlands",East of England,"South 
East",London,"South 
West",England,,
Motorways and trunk roads:,,,,,,,,,,,,,
,New construction/improvement and structural maintenance,71.0,114.7,192.2,235.9,123.0,670.6,236.4,6.6,87.3,"1,737.6",,
,"Current maintenance, including routine & winter maintenance",33.1,39.4,58.0,34.1,27.5,49.1,107.5,5.7,59.0,413.5,,
,DBFO service payments2,45.1,0.0,75.3,19.2,0.0,50.2,127.9,0.0,50.6,368.2,,
Local Roads:3,,,,,,,,,,,,,
,"New construction/improvement for highways, lighting, road safety and structural maintenance4",211.2,739.7,308.9,273.2,394.6,461.3,487.2,859.2,433.9,"4,169.2",,
,Revenue expenditure on bridge structural maintenance & strengthening ,4.0,4.7,3.1,1.7,7.0,7.3,9.3,14.5,3.9,55.6,,
,Routine and winter maintenance,37.5,132.3,111.3,84.9,122.7,123.4,208.9,214.9,128.3,"1,164.2",,
,Revenue expenditure on road safety,7.8,15.5,16.4,14.1,38.5,16.6,24.5,174.2,12.3,320.0,,
,Revenue expenditure on public lighting,45.6,84.1,53.1,37.5,56.4,46.4,59.8,65.7,41.7,490.3,,
All road expenditure,,455.2,"1,130.4",818.3,700.7,769.6,"1,424.9","1,261.6","1,340.8",817.1,"8,718.7",,
,,,,,,,,,,,,,
1 Apportionment between the regions involves an estimation process.,,,,,,,,,,,,,
"2 Payments to contractors under Design, Build, Finance & Operate (DBFO) schemes.",,,,,,,,,,,,,
3 Local authority expenditure excludes expenditure on car parks.,,,,,,,,,,,,,
4 Includes expenditure on 'patching'.,,,,,,,,,,,,,
,,,,,,,,,,,,,
Telephone: 020 7944 5032,,,,,,,,,,,Sources - Highways Agency Financial Accounts and local authority returns to the Department for Communities and Local Government (DCLG),,
Email: roadmaintenance.stats@dft.gsi.gov.uk,,,,,,,,,,,,,
,,,,,,,,,,,Last Updated: November 2012,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,Next Updated: November 2013,,
,,,,,,,,,,,,,
