Department for Transport statistics,,,,,,,,,,,,,
Transport Statistics Great Britain,,,,,,,,,,,,,
,,,,,,,,,,,,,
Table TSGB0720,,,,,,,,,,,,,
New road construction and improvement: motorways and all purpose trunk roads: England: 2001/02-2011/121,,,,,,,,,,,,,
,,,,,,,,,,,,,
,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/112,2011/122,,
(a) Starts,,,,,,,,,,,,,
Route kilometres,5,21,51,30,69,65,59,35,120,0,39,,
Lane kilometres,18,65,195,82,153,178,104,97,230,0,77,,
(b) Completions,,,,,,,,,,,,,
Route kilometres,0,56,113,49,37,67,42,102,37,51,55,,
Lane kilometres,0,191,446,172,108,144,109,140,19,141,110,,
,,,,,,,,,,,,,
"1  Includes Design, Build, Finance and Operate (DBFO) schemes.",,,,,,,,,,,,,
2  The Lane kms shown from 2010/11 includes new managed motorway schemes. This is not new build - this is new use of existing ,,,,,,,,,,,,,
"    lanes via the various  Managed Motorway methods (dynamic use of hard shoulder, all lane running, etc.).",,,,,,,,,,,,,
,,,,,,,,,,,,,
Telephone: 020 7944 5032,,,,,,,,,,,Source - Highways Agency,,
Email: roadmaintenance.stats@dft.gsi.gov.uk,,,,,,,,,,,,,
,,,,,,,,,,,Last updated: November 2012,,
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,Next updated: November 2013,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,


,,,,,,,,,,,
