Department for Transport Statistics,,,,,,,,,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/rail-statistics,,,,,,,,,,,,,,,,,,,
RAI0502 (alternative number TSGB0806),,,,,,,,,,,,,,,,,,,
Railway1 movement accidents: passenger casualties and casualty rates: 2001/02 - 2011/12,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,  Number/billion kilometres/rate per billion passenger kilometres,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,2001/02R,2002/03R,2003/04R,2004/05R,2005/06R,2006/07R,2007/08R,2008/09R,2009/10R,2010/11R,2011/12,,,,,,,,
Passenger casualties:2,,,,,,,,,,,,,,,,,,,
    Fatalities,1,8,0,5,0,2,0,0,0,0,0,,,,,,,,
    Major injuries,44,63,57,60,33,60,29,31,41,49,48,,,,,,,,
    Minor injuries,"1,331","1,258","1,209","1,192","1,040","1,083","1,039","1,149","1,249","1,348","1,342",,,,,,,,
    Shock/trauma,59,69,63,44,47,67,69,61,43,47,55,,,,,,,,
    All casualties,"1,435","1,398","1,329","1,301","1,120","1,212","1,137","1,241","1,333","1,444","1,445",,,,,,,,
,,,,,,,,,,,,,,,,,,,
Passenger kilometres (billions)3,39.1,39.7,40.9,41.7,43.1,46.2,48.9,50.6,51.4,54.5,57.3,,,,,,,,
,,,,,,,,,,,,,,
Passenger casualty rates:,,,,,,,,,,,,,,
    Fatalities,0.0,0.2,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,
    Major injuries,1.1,1.6,1.4,1.4,0.8,1.3,0.6,0.6,0.8,0.9,0.8,,,
    Minor injuries,34.0,31.7,29.6,28.6,24.1,23.5,21.2,22.7,24.3,24.7,23.4,,,
    Shock/trauma,1.5,1.7,1.5,1.1,1.1,1.5,1.4,1.2,0.8,0.9,1.0,,,
    All casualties,36.7,35.2,32.5,31.2,26.0,26.3,23.2,24.5,25.9,26.5,25.2,,,
,,,,,,,,,,,,,,
Note:  RSSB continually updates and revises previous years’ casualty data in light of any new information that becomes available. Passenger kilometres from 2009/10 and 2010/11 have been,,,,,,,,,,,,,,
          revised from those previously included in this table to include non-franchised train operators as well as franchised operators. Casualty rates have been revised accordingly.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
1  Includes National Rail only.,,,,,,,,,,,,,,
2  Passenger casualties owing to train accidents and movement accidents involving people on board trains or in the act of boarding or alighting from them (see Notes and Definitions).,,,,,,,,,,,,,,
"3  Figures up to 2008/09 only include franchised train operators, from 2009/10 they include non-franchised operators as well. This has a small impact on the totals, with non-franchised",,,,,,,,,,,,,,
    operators making up 0.6 per cent of the total passenger kilometres in 2009/10.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Telephone: 020 7944 2419,,,,,,,,,,,Source: Rail Safety and Standards Board (RSSB)
Email: rail.stats@dft.gsi.gov.uk,,,,,,,,,,,
,,,,,,,,,,,Last updated: December 2012
The figures in this table are outside the scope of National Statistics,,,,,,,,,,,Next update: December 2013
