Department for Transport statistics,,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/road-accidents-and-safety-statistics,,,,,,,,,,,,
,,,,,,,,,,,,
TSGB0802 (Alternative number RAS30069),,,,,,,,,,,,
Reported road accident casualties by road user type and severity: 2000-2011,,,,,,,,,,,,
,,,,,,,,,,,,Number
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Child pedestrians: 1,,,,,,,,,,,,
   Killed,107,107,79,74,77,63,71,57,57,37,26,33
   KSI2,"3,226","3,144","2,828","2,381","2,339","2,134","2,025","1,899","1,784","1,660","1,646","1,602"
   All severities,"16,184","15,819","14,231","12,544","12,234","11,250","10,131","9,527","8,648","7,983","7,929","7,807"
Adult pedestrians: 3,,,,,,,,,,,,
   Killed ,750,712,688,695,589,604,602,585,515,463,379,420
   KSI,"6,112","5,745","5,644","5,422","5,005","4,847","4,894","4,900","4,724","4,295","3,874","4,227"
   All severities,"24,481","23,463","23,258","22,531","21,404","20,725","19,774","19,676","19,013","18,248","17,320","17,802"
Child pedal cyclists: 1,,,,,,,,,,,,
   Killed ,27,25,22,18,25,20,31,13,12,14,7,6
   KSI,758,674,594,595,577,527,503,522,417,458,398,398
   All severities,"6,260","5,451","4,809","4,769","4,682","4,286","3,765","3,633","3,306","3,204","2,828","2,881"
Adult pedal cyclists: 3,,,,,,,,,,,,
   Killed ,98,111,107,95,109,127,115,122,103,90,104,101
   KSI,"1,954","1,951","1,801","1,776","1,697","1,787","1,898","1,994","2,101","2,225","2,333","2,750"
   All severities,"13,630","12,974","11,712","11,643","11,366","11,637","11,911","12,050","12,546","13,420","13,970","15,908"
Motorcyclists 4 and passengers,,,,,,,,,,,,
   Killed ,605,583,609,693,585,569,599,588,493,472,403,362
   KSI,"7,374","7,305","7,500","7,652","6,648","6,508","6,484","6,737","6,049","5,822","5,183","5,609"
   All severities,"28,212","28,810","28,353","28,411","25,641","24,824","23,326","23,459","21,550","20,703","18,686","20,150"
Car drivers and passengers,,,,,,,,,,,,
   Killed ,"1,665","1,749","1,747","1,769","1,671","1,675","1,612","1,432","1,257","1,059",835,883
   KSI,"19,719","19,424","18,728","17,291","16,144","14,617","14,254","12,967","11,968","11,112","9,749","9,225"
   All severities,"206,799","202,802","197,425","188,342","183,858","178,302","171,000","161,433","149,188","143,412","133,205","124,924"
Bus/coach drivers and passengers,,,,,,,,,,,,
   Killed ,15,14,19,11,20,9,19,12,6,14,9,7
   KSI,578,562,551,500,488,363,426,455,432,370,401,332
   All severities,"10,088","9,884","9,005","9,068","8,820","7,920","7,253","7,079","6,929","6,317","6,268","6,177"
LGV  drivers and passengers,,,,,,,,,,,,
   Killed ,66,64,70,72,62,54,52,58,43,36,34,34
   KSI,813,811,780,765,631,587,564,494,445,417,359,340
   All severities,"7,007","7,304","7,007","6,897","6,166","6,048","5,914","5,340","4,913","4,743","4,494","4,499"
HGV drivers and passengers,,,,,,,,,,,,
   Killed ,55,54,63,44,47,55,39,52,23,14,28,28
   KSI,571,500,524,429,406,395,383,363,240,189,212,195
   All severities,"3,597","3,388","3,178","3,061","2,883","2,843","2,530","2,476","1,930","1,519","1,578","1,415"
All road users: 5,,,,,,,,,,,,
   Killed ,"3,409","3,450","3,431","3,508","3,221","3,201","3,172","2,946","2,538","2,222","1,850","1,901"
   KSI,"41,564","40,560","39,407","37,215","34,351","32,155","31,845","30,720","28,572","26,912","24,510","25,023"
   All severities,"320,283","313,309","302,605","290,607","280,840","271,017","258,404","247,780","230,905","222,146","208,648","203,950"
,,,,,,,,,,,,
1. Casualties aged 0 -15.,,,,,,,,,,,,
2. Killed and seriously injured.,,,,,,,,,,,,
3. Casualties aged 16 and over.,,,,,,,,,,,,
4. Includes mopeds and scooters.,,,,,,,,,,,,
"5. Includes other motor or non-motor vehicle users, and unknown road user type and casualty age.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Contact: 020-7944 6595,,,,,,,,,,,,Last updated: December 2012
E-mail:  roadacc.stats@dft.gsi.gov.uk,,,,,,,,,,,,Next update: December 2013
,,,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,






























,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,

,,,,,,,,,,,
