Department for Transport statistics,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/road-accidents-and-safety-statistics,,,,,,,,,,,
TSGB0804 (Alternative number RAS51014),,,,,,,,,,,
Drivers and riders in injury road accidents: breath tests and failures: GB 2001 - 2011,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,Number/Percentage,
,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,
a. Total involved,"390,273","374,098","362,303","348,773","331,120","318,009","294,442","280,786","263,284","256,101",
b. Total tests requested,"196,232","187,276","183,972","183,219","179,270","179,558","162,969","151,918","141,240","138,650",
c. Total failed,"8,104","8,150","7,427","7,115","6,594","6,278","5,520","5,125","4,287","4,366",
Testing rate (b/a x 100),50,50,51,53,54,56,55,54,54,54,
Test failure rate (c/b x 100),4.1,4.4,4.0,3.9,3.7,3.5,3.4,3.4,3.0,3.1,
Total failure rate (c/a x 100),2.1,2.2,2.0,2.0,2.0,2.0,1.9,1.8,1.6,1.7,
,,,,,,,,,,Source: STATS19,
,,,,,,,,,,,
Telephone: 020 7944 6595,,,,,,,,,,,
Email: roadacc.stats@dft.gsi.gov.uk,,,,,,,,,,,
A note on methodology can be found at:  http://assets.dft.gov.uk/statistics/releases/road-accidents-and-safety-drink-drive-estimates-2011/methodology-notes-drink-drive.pdf,,,,,,,,,,,
,,,,,,,,,,,
Notes and definitions see: https://www.gov.uk/technical-guidance-for-transport-stats#road-accidents-and-safety-statistics,,,,,,,,,,,
"Source: STATS19, Coroners and Procurators Fiscal",,,,,,,,,,,
Last updated: December 2012,,,,,,,,,,,
Next update: December 2013,,,,,,,,,,,
,,,,,,,,,,,
The figures in this table are National Statistics,,,,,,,,,,,
