Department for Transport statistics,,,,,,,,,,,
https://www.gov.uk/government/organisations/department-for-transport/series/road-accidents-and-safety-statistics,,,,,,,,,,,
TSGB0811 (Alternative number RAS61001),,,,,,,,,,,
"Motor vehicle offences: findings of guilt at all courts, fixed penalty notices and written warnings: ",,,,,,,,,,,
by type of offence: England and Wales: 2000-2010,,,,,,,,,,,
,,,,,,,,,,,Thousands of offences
,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Offence type:,,,,,,,,,,,
"Dangerous, careless or drunken driving etc  ",176,172,171,177,231,275,322,267,275,299,252
Accident offences,18,18,18,19,18,17,16,16,12,13,12
Speed limit offences,"1,154","1,386","1,538","2,041","2,076","2,087","1,933","1,592","1,359","1,206","1,108"
Unauthorised taking or theft of motor vehicle,32,32,32,30,27,25,23,23,19,14,12
"Licence, insurance and record keeping offences",785,769,819,953,957,844,747,641,564,498,447
Vehicle test and condition offences,243,226,228,241,227,187,152,117,114,113,112
Neglect of traffic signs and directions and pedestrian rights,232,218,213,264,258,245,245,237,226,209,187
"Other offences relating to motor vehicles (except obstruction, waiting and parking)",268,255,239,280,354,380,352,346,323,286,295
"All offences (except obstruction,waiting and parking)","2,911","3,076","3,259","4,005","4,147","4,059","3,789","3,238","2,892","2,637","2,425"
"Obstruction, waiting and parking offences1","1,611","1,341","1,180","1,059",896,584,499,454,338,269,202
All offences,"4,523","4,417","4,439","5,244","5,043","4,643","4,288","3,691","3,230","2,906","2,627"
,,,,,,,,,,,
1 Excludes Penalty Charge Notices issued by Local Authorities under ,,,,,,,,,,,
  'Civil Parking Enforcement powers - see Notes,,,,,,,,,,,
"2 For details on vehicle offences dealt with by the courts see Ministry of Justice Statistical Bulletin, ",,,,,,,,,,,
"  ""Criminal Justice Statistics England and Wales 2011"" and associated Supplementary Tables - ",,,,,,,,,,,
"   ""Volume 6 - Motoring"". Copies of this report and other publications can ",,,,,,,,,,,
   be downloaded free from the Ministry of Justice website at http://www.justice.gov.uk/publications/criminalannual.htm,,,,,,,,,,,
"3 For details on fixed penalty notices and written warnings see Home Office Statistical Bulletin, ""Police Powers and",,,,,,,,,,,
"   Procedures, England and Wales 2010/11"". Copies of this report and other publications can be downloaded free from",,,,,,,,,,,
   the Home Office website at http://www.homeoffice.gov.uk/publications/science-research-statistics/research-statistics/police-research/police-powers-procedures-201011/,,,,,,,,,,,
,,,,,,,,,,,
Contact: 020 3334 4969,,,,,,,,,,,
Source - Ministry of Justice2,,,,,,,,,,,
,,,,,,,,,,,
Contact: 020 7035 0299,,,,,,,,,,,
Source - Home Office3,,,,,,,,,,,
Last updated: December 2012,,,,,,,,,,,
Next update: December 2013,,,,,,,,,,,

The figures in this table are National Statistics,,,,,,,,,,,
