CA11CD,CA11CDO,CA11NM
"S12000005","00QF","Clackmannanshire"
"S12000006","00QH","Dumfries and Galloway"
"S12000008","00QK","East Ayrshire"
"S12000010","00QM","East Lothian"
"S12000011","00QN","East Renfrewshire"
"S12000013","00RJ","Eilean Siar"
"S12000014","00QQ","Falkirk"
"S12000015","00QR","Fife"
"S12000017","00QT","Highland"
"S12000018","00QU","Inverclyde"
"S12000019","00QW","Midlothian"
"S12000020","00QX","Moray"
"S12000021","00QY","North Ayrshire"
"S12000023","00RA","Orkney Islands"
"S12000024","00RB","Perth and Kinross"
"S12000026","00QE","Scottish Borders"
"S12000027","00RD","Shetland Islands"
"S12000028","00RE","South Ayrshire"
"S12000029","00RF","South Lanarkshire"
"S12000030","00RG","Stirling"
"S12000033","00QA","Aberdeen City"
"S12000034","00QB","Aberdeenshire"
"S12000035","00QD","Argyll and Bute"
"S12000036","00QP","City of Edinburgh"
"S12000038","00RC","Renfrewshire"
"S12000039","00QG","West Dunbartonshire"
"S12000040","00RH","West Lothian"
"S12000041","00QC","Angus"
"S12000042","00QJ","Dundee City"
"S12000044","00QZ","North Lanarkshire"
"S12000045","00QL","East Dunbartonshire"
"S12000046","00QS","Glasgow City"
