UA11CD,UA11CDO,UA11NM,UA11NMW
"W06000001","00NA","Isle of Anglesey","Ynys M“n"
"W06000002","00NC","Gwynedd","Gwynedd"
"W06000003","00NE","Conwy","Conwy"
"W06000004","00NG","Denbighshire","Sir Ddinbych"
"W06000005","00NJ","Flintshire","Sir y Fflint"
"W06000006","00NL","Wrexham","Wrecsam"
"W06000008","00NQ","Ceredigion","Ceredigion"
"W06000009","00NS","Pembrokeshire","Sir Benfro"
"W06000010","00NU","Carmarthenshire","Sir Gaerfyrddin"
"W06000011","00NX","Swansea","Abertawe"
"W06000012","00NZ","Neath Port Talbot","Castell-nedd Port Talbot"
"W06000013","00PB","Bridgend","Pen-y-bont ar Ogwr"
"W06000014","00PD","The Vale of Glamorgan","Bro Morgannwg"
"W06000015","00PT","Cardiff","Caerdydd"
"W06000016","00PF","Rhondda Cynon Taf","Rhondda Cynon Taf"
"W06000018","00PK","Caerphilly","Caerffili"
"W06000019","00PL","Blaenau Gwent","Blaenau Gwent"
"W06000020","00PM","Torfaen","Torfaen"
"W06000021","00PP","Monmouthshire","Sir Fynwy"
"W06000022","00PR","Newport","Casnewydd"
"W06000023","00NN","Powys","Powys"
"W06000024","00PH","Merthyr Tydfil","Merthyr Tudful"
